,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
562,2968 Tuers Rd,San Jose,CA,95121,1349990.0,4,2.5,2000,674.995,medium,1.6,higher
563,1445 Fruitdale Ave #107,San Jose,CA,95128,775000.0,2,2.0,1170,662.393,small,1.0,lower
564,5831 Pala Mesa Dr,San Jose,CA,95123,1550000.0,4,2.5,2192,707.117,medium,1.6,higher
565,5915 Blue Topaz Ct,San Jose,CA,95123,1280000.0,4,3.5,2093,611.562,medium,1.143,higher
566,8861 Wine Valley Cir,San Jose,CA,95135,1350000.0,3,2.0,2032,664.37,medium,1.5,higher
567,653 Yolo Ct,San Jose,CA,95136,488000.0,1,1.0,648,753.086,small,1.0,lower
568,293 Chynoweth Ave,San Jose,CA,95136,808888.0,3,1.5,1308,618.416,small,2.0,lower
569,461 Northlake Dr #21,San Jose,CA,95117,749000.0,2,2.0,1191,628.883,small,1.0,lower
570,536 Manzana Pl,San Jose,CA,95112,849000.0,1,2.0,1420,597.887,small,0.5,lower
571,144 S 3rd St #109,San Jose,CA,95112,819000.0,2,2.5,1488,550.403,small,0.8,lower
572,2321 Radio Ave,San Jose,CA,95125,1299888.0,2,1.0,1159,1121.56,small,2.0,higher
573,5828 Recife Way,San Jose,CA,95120,1899888.0,3,2.0,1858,1022.545,medium,1.5,higher
575,158 Pierce Ave,San Jose,CA,95110,460000.0,2,1.0,1152,399.306,small,2.0,lower
576,17356 Via San Ardo,San Lorenzo,CA,94580,900000.0,3,2.0,1495,602.007,small,1.5,lower
577,784 Blaine Way,Hayward,CA,94544,808000.0,3,2.0,1358,594.993,small,1.5,lower
578,24541 Blossom Acre Way,Hayward,CA,94544,899000.0,4,3.0,1812,496.137,medium,1.333,lower
579,21103 Gary Dr Unit 114A,Hayward,CA,94546,599900.0,2,2.0,1100,545.364,small,1.0,lower
580,769 Plantation Ln #15,Hayward,CA,94544,849000.0,3,2.5,1391,610.352,small,1.2,lower
581,32254 Crest Ln,Union City,CA,94587,1280000.0,4,2.0,1463,874.915,small,2.0,higher
582,977 Northfield Dr,Hayward,CA,94544,359944.0,3,2.0,1477,243.699,small,1.5,lower
583,1200 W Winton #174,Hayward,CA,94545,139888.0,2,1.0,656,213.244,small,2.0,lower
584,17318 Esteban St,Hayward,CA,94541,579000.0,3,2.5,1724,335.847,medium,1.2,lower
585,2638 Sleepy Hollow Ave,Hayward,CA,94545-3340,629000.0,3,2.0,1153,545.533,small,1.5,lower
586,649 Artisan Pl,Hayward,CA,94541,675000.0,3,3.0,1595,423.197,medium,1.0,lower
587,21095 Gary Dr #113,Hayward,CA,94546,590000.0,2,2.0,1118,527.728,small,1.0,lower
588,465 Solano Ave,Hayward,CA,94541,1169000.0,4,2.0,2120,551.415,medium,2.0,higher
589,177 El Dorado Ave,Hayward,CA,94541,995000.0,3,3.0,1377,722.585,small,1.0,lower
590,23755 Clayton St,Hayward,CA,94541,898000.0,4,2.0,1502,597.87,medium,2.0,lower
591,672 Atherton Pl #507,Hayward,CA,94541,699900.0,3,3.0,1224,571.814,small,1.0,lower
592,21070 Mission,Hayward,CA,94541,699000.0,2,1.0,1104,633.152,small,2.0,lower
593,29865 Mission Blvd,Hayward,CA,94544,964016.0,3,3.0,1940,496.915,medium,1.0,lower
594,26953 Hayward Blvd #308,Hayward,CA,94542,490000.0,2,2.0,1208,405.629,small,1.0,lower
595,22999 Palazzo Del Kayla,Hayward,CA,94541,1179000.0,4,3.0,2050,575.122,medium,1.333,higher
596,430 Willow Ave,Hayward,CA,94541,450000.0,2,1.0,1008,446.429,small,2.0,lower
597,2645 Admiral Cir,Hayward,CA,94545,1395000.0,4,2.5,2046,681.818,medium,1.6,higher
598,29478 Dixon St,Hayward,CA,94544,789000.0,2,2.0,1501,525.65,medium,1.0,lower
599,2733 Seadrift Ln,Hayward,CA,94545-1365,1495000.0,5,3.5,2457,608.466,medium,1.429,higher
600,165 Revere Ave,Hayward,CA,94544,560000.0,3,1.0,1221,458.64,small,3.0,lower
601,2059 Everglade St,Hayward,CA,94545,818888.0,3,2.0,1000,818.888,small,1.5,lower
602,27947 Edgecliff Way,Hayward,CA,94542,1299000.0,4,2.5,1946,667.523,medium,1.6,higher
603,2020 Hill Ave,Hayward,CA,94541,1350000.0,4,3.0,2444,552.373,medium,1.333,higher
604,29711 Hansen St,Hayward,CA,94544,998000.0,4,3.5,2018,494.549,medium,1.143,lower
605,913 Folsom Ave,Hayward,CA,94544,824999.0,3,1.5,1176,701.53,small,2.0,lower
606,1221 Bellina St,Hayward,CA,94541,1050000.0,4,3.5,2368,443.412,medium,1.143,equal
607,151 Mediterranean Ave,Hayward,CA,94544,820000.0,2,2.0,990,828.283,small,1.0,lower
608,431 Industrial Pkwy,Hayward,CA,94544,911208.0,3,2.5,1948,467.766,medium,1.2,lower
610,222 Span Ct,Hayward,CA,94544,889000.0,2,2.5,1718,517.462,medium,0.8,lower
611,26634 Colette St,Hayward,CA,94544,750000.0,3,1.0,1167,642.674,small,3.0,lower
612,3012 Randall Way,Hayward,CA,94541,999000.0,3,2.0,1480,675.0,small,1.5,lower
613,1707 Grove Way,Castro Valley,CA,94546,1400000.0,4,3.0,2376,589.226,medium,1.333,higher
614,17297 Los Banos St,Hayward,CA,94541,749000.0,3,1.0,1239,604.52,small,3.0,lower
657,2744 Hosmer St,San Mateo,CA,94403,1300000.0,3,2.0,1100,1181.818,small,1.5,higher
658,1 Baldwin Ave #603,San Mateo,CA,94401,725000.0,2,2.0,1400,517.857,small,1.0,lower
